category,course_id,course_name,credit,total_hours,theory_hours,practice_hours,semester,required,exam_type,remarks,major
专业课,3132100189,互联网应用,3,48,32,16,6,选修,考查,,电子商务及法律
专业课,3112100430,移动互联网,2,32,32,0,6,选修,考查,,电子商务及法律
专业课,3132111060,人工智能原理,2,32,32,0,6,选修,考查,,电子商务及法律
专业课,3132114070,多媒体技术,2,32,32,0,7,选修,考查,,电子商务及法律
专业课,3132112080,服务科学与服务工程概论,2,32,32,0,7,选修,考查,,电子商务及法律
实践教学,3322100061,中国近现代史纲要（实践环节）,0.5,12,0,12,2,必修,考查,,电子商务及法律
实践教学,3322100071,马克思主义基本原理概论（实践环节）,0.5,12,0,12,3,必修,考查,,电子商务及法律
实践教学,3322100081,毛泽东思想和中国特色社会主义理论体系概论（实践环节）,1,24,0,24,4,必修,考查,,电子商务及法律
实践教学,2122110003,军训,2,48,0,48,1,必修,考查,,电子商务及法律
实践教学,3412130049,物理实验C,1.5,36,4,32,2,必修,考查,,电子商务及法律
实践教学,3152100601,计算机实习,2,48,0,48,3,必修,考查,,电子商务及法律
实践教学,3312100294,学术交流技能1,1,24,16,8,3,必修,考查,,电子商务及法律
实践教学,3312100295,学术交流技能2,2,48,32,16,4,必修,考查,,电子商务及法律
实践教学,3132102560,Design & Build实训2,2,48,0,48,5,必修,考查,,电子商务及法律
实践教学,3512190005,电子商务及法律专业实习,2,48,0,48,7,必修,考查,,电子商务及法律
实践教学,3512130011,个人发展计划1,0.4,10,5,5,2,必修,考查,,电子商务及法律
实践教学,3512140013,个人发展计划2,0.3,7,3,4,4,必修,考查,,电子商务及法律
实践教学,3512150011,个人发展计划3,0.3,7,3,4,6,必修,考查,,电子商务及法律
实践教学,3512165214,毕业设计,10,384,0,384,8,必修,考查,,电子商务及法律
学院特色创新必修5学分,3512191022,计算及设计思维,2,48,24,24,2,选修,考查,,电子商务及法律
学院特色创新必修5学分,3512191022,计算及设计思维,2,48,24,24,3,选修,考查,,电子商务及法律
学院特色创新必修5学分,3512156081,科学思考与艺术实践,2,48,24,24,5,选修,考查,,电子商务及法律
学院特色创新必修5学分,3512191070,科研素养与创新能力,2,48,24,24,3,选修,考查,,电子商务及法律
学院特色创新必修5学分,3512191070,科研素养与创新能力,2,48,24,24,4,选修,考查,,电子商务及法律
学院特色创新必修5学分,3512191080,Web创新实践,2,48,24,24,4,选修,考查,,电子商务及法律
学院特色创新必修5学分,3512191090,区块链技术与创新实践,2,48,12,36,4,选修,考查,,电子商务及法律
学院特色创新必修5学分,3512191090,区块链技术与创新实践,2,48,12,36,5,选修,考查,,电子商务及法律
学院特色创新必修5学分,3512191090,区块链技术与创新实践,2,48,12,36,6,选修,考查,,电子商务及法律
学院特色创新必修5学分,3512191052,图像识别应用实训,2,48,24,24,5,选修,考查,,电子商务及法律
